habitant_id,station,niveau_risque,condamne
H-1034,Alpha,3,0
H-1925,Go-Sci,4,0
H-1050,Alpha,3,0
H-1082,Alpha,4,0
H-1036,Alpha,2,0
H-1006,Alpha,4,0
H-2262,Arrow,2,1
H-1974,Go-Sci,4,0
H-2173,Hydra,4,0
H-1059,Alpha,1,0
H-1958,Go-Sci,4,0
H-2251,Arrow,4,1
H-1817,Go-Sci,4,0
H-2278,Arrow,1,0
H-2059,Hydra,4,0
H-1565,Mecha,1,0
H-1394,Factory,1,0
H-1766,Agro,2,0
H-1579,Mecha,2,0
H-1878,Go-Sci,3,0
H-2087,Hydra,1,0
H-1377,Factory,5,0
H-1041,Alpha,1,0
H-1315,Factory,1,0
H-1380,Factory,4,0
H-1995,Go-Sci,3,0
H-1619,Agro,2,1
H-1254,Factory,5,0
H-2056,Hydra,2,0
H-1522,Mecha,5,0
H-1757,Agro,3,0
H-1234,Factory,5,0
H-2057,Hydra,4,0
H-1427,Mecha,5,0
H-1344,Factory,1,1
H-1694,Agro,4,0
H-1777,Agro,4,0
H-2107,Hydra,5,0
H-1563,Mecha,2,0
H-1299,Factory,4,0
H-1257,Factory,4,0
H-1544,Mecha,2,1
H-1207,Factory,3,0
H-1917,Go-Sci,4,0
H-2136,Hydra,3,1
H-1176,Alpha,1,0
H-1077,Alpha,2,0
H-1968,Go-Sci,1,0
H-1455,Mecha,1,0
H-1907,Go-Sci,4,0
H-1353,Factory,1,0
H-1444,Mecha,3,0
H-1081,Alpha,1,0
H-2360,Arrow,1,0
H-1706,Agro,2,0
H-1288,Factory,5,1
H-2350,Arrow,1,0
H-1885,Go-Sci,1,0
H-1663,Agro,2,0
H-2259,Arrow,2,0
H-1224,Factory,3,0
H-1972,Go-Sci,2,0
H-2134,Hydra,1,0
H-1864,Go-Sci,5,0
H-1046,Alpha,4,0
H-2233,Arrow,5,0
H-1278,Factory,1,1
H-1435,Mecha,5,0
H-1044,Alpha,4,0
H-1821,Go-Sci,5,0
H-1141,Alpha,2,0
H-1910,Go-Sci,3,0
H-1599,Mecha,3,0
H-2088,Hydra,3,0
H-1953,Go-Sci,1,1
H-1604,Agro,5,0
H-2035,Hydra,1,0
H-2026,Hydra,2,0
H-1660,Agro,2,1
H-2208,Arrow,4,1
H-1341,Factory,4,0
H-1973,Go-Sci,4,0
H-1718,Agro,5,0
H-1752,Agro,2,0
H-2322,Arrow,3,0
H-1658,Agro,3,0
H-1031,Alpha,1,0
H-2170,Hydra,3,0
H-1948,Go-Sci,4,0
H-1960,Go-Sci,1,0
H-1434,Mecha,1,0
H-2196,Hydra,2,0
H-1936,Go-Sci,3,0
H-1104,Alpha,1,0
H-1086,Alpha,4,0
H-1795,Agro,2,0
H-1808,Go-Sci,4,0
H-1567,Mecha,2,0
H-1346,Factory,3,1
H-1853,Go-Sci,1,0
H-1854,Go-Sci,5,0
H-2324,Arrow,1,0
H-1060,Alpha,5,0
H-1489,Mecha,3,0
H-1001,Alpha,4,0
H-1340,Factory,2,0
H-1686,Agro,4,0
H-1335,Factory,1,1
H-1971,Go-Sci,5,0
H-1554,Mecha,2,0
H-2249,Arrow,1,0
H-2361,Arrow,5,0
H-2211,Arrow,2,0
H-1187,Alpha,5,0
H-1189,Alpha,4,0
H-1179,Alpha,3,0
H-2313,Arrow,1,1
H-1395,Factory,1,0
H-1358,Factory,5,0
H-2097,Hydra,5,0
H-1928,Go-Sci,2,0
H-2162,Hydra,3,1
H-1895,Go-Sci,5,0
H-1233,Factory,5,0
H-1712,Agro,2,0
H-1753,Agro,4,1
H-2014,Hydra,1,0
H-1000,Alpha,4,0
H-2024,Hydra,2,1
H-1073,Alpha,5,0
H-2157,Hydra,2,0
H-2332,Arrow,1,0
H-1866,Go-Sci,4,0
H-1312,Factory,1,0
H-2365,Arrow,4,0
H-1744,Agro,4,0
H-1897,Go-Sci,2,0
H-2248,Arrow,5,0
H-2146,Hydra,5,0
H-1846,Go-Sci,3,0
H-2371,Arrow,2,0
H-2045,Hydra,4,1
H-1805,Go-Sci,3,0
H-2181,Hydra,1,0
H-1136,Alpha,2,0
H-1662,Agro,5,0
H-1673,Agro,2,0
H-1388,Factory,4,0
H-1425,Mecha,3,0
H-1348,Factory,2,1
H-1326,Factory,5,1
H-1029,Alpha,4,0
H-1226,Factory,5,1
H-1202,Factory,1,0
H-1839,Go-Sci,4,0
H-1849,Go-Sci,2,0
H-1598,Mecha,1,0
H-1858,Go-Sci,4,1
H-1841,Go-Sci,4,0
H-1893,Go-Sci,3,0
H-1671,Agro,4,0
H-1193,Alpha,3,0
H-1437,Mecha,2,0
H-1317,Factory,4,1
H-2223,Arrow,4,0
H-2343,Arrow,3,0
H-2359,Arrow,1,0
H-1279,Factory,2,0
H-2227,Arrow,4,1
H-1939,Go-Sci,2,0
H-1532,Mecha,1,0
H-1675,Agro,3,0
H-1012,Alpha,1,0
H-1701,Agro,2,0
H-1768,Agro,1,0
H-1911,Go-Sci,3,1
H-2106,Hydra,2,0
H-1013,Alpha,3,0
H-1901,Go-Sci,4,0
H-1130,Alpha,4,0
H-2174,Hydra,4,0
H-1637,Agro,1,0
H-1950,Go-Sci,2,0
H-1957,Go-Sci,4,0
H-1054,Alpha,3,0
H-1409,Mecha,1,0
H-1320,Factory,3,1
H-2335,Arrow,5,0
H-2084,Hydra,3,1
H-2069,Hydra,4,0
H-1342,Factory,3,0
H-1090,Alpha,3,0
H-2091,Hydra,2,0
H-1332,Factory,4,0
H-1169,Alpha,5,0
H-2065,Hydra,1,0
H-1883,Go-Sci,2,0
H-1068,Alpha,3,0
H-1561,Mecha,3,0
H-1933,Go-Sci,4,0
H-1589,Mecha,5,1
H-1922,Go-Sci,2,0
H-2396,Arrow,4,0
H-2158,Hydra,5,0
H-1277,Factory,4,1
H-1118,Alpha,2,0
H-1886,Go-Sci,3,0
H-2054,Hydra,3,0
H-1880,Go-Sci,4,0
H-1656,Agro,5,1
H-1534,Mecha,2,0
H-1175,Alpha,5,0
H-1263,Factory,4,0
H-2010,Hydra,1,0
H-1707,Agro,5,0
H-1432,Mecha,2,1
H-1248,Factory,2,1
H-1947,Go-Sci,1,0
H-2302,Arrow,4,0
H-1051,Alpha,2,0
H-1796,Agro,2,1
H-1855,Go-Sci,3,0
H-2199,Hydra,1,0
H-1645,Agro,4,0
H-1456,Mecha,4,1
H-2028,Hydra,3,0
H-1923,Go-Sci,3,0
H-1921,Go-Sci,3,0
H-2367,Arrow,5,0
H-1720,Agro,5,0
H-1819,Go-Sci,4,0
H-1259,Factory,5,0
H-1520,Mecha,5,0
H-2011,Hydra,2,0
H-1678,Agro,4,0
H-1545,Mecha,4,0
H-1241,Factory,4,0
H-1575,Mecha,5,0
H-1415,Mecha,3,0
H-1602,Agro,5,1
H-1771,Agro,1,0
H-1483,Mecha,4,0
H-1900,Go-Sci,1,0
H-1751,Agro,1,0
H-2102,Hydra,5,0
H-1814,Go-Sci,4,0
H-1969,Go-Sci,3,0
H-2126,Hydra,3,0
H-2133,Hydra,3,0
H-2341,Arrow,5,0
H-1428,Mecha,4,0
H-2109,Hydra,1,0
H-1445,Mecha,1,0
H-2149,Hydra,1,0
H-1725,Agro,1,0
H-1385,Factory,3,0
H-1964,Go-Sci,1,1
H-2067,Hydra,1,0
H-1393,Factory,3,0
H-1812,Go-Sci,1,0
H-1955,Go-Sci,2,1
H-1652,Agro,2,0
H-1636,Agro,5,1
H-1500,Mecha,4,1
H-1733,Agro,2,0
H-2373,Arrow,5,0
H-2044,Hydra,5,1
H-2305,Arrow,1,0
H-1610,Agro,2,0
H-1463,Mecha,1,1
H-1468,Mecha,4,0
H-1860,Go-Sci,3,1
H-2300,Arrow,1,0
H-1123,Alpha,1,1
H-2398,Arrow,5,1
H-1267,Factory,5,0
H-1627,Agro,2,0
H-1453,Mecha,3,0
H-1211,Factory,4,0
H-1536,Mecha,5,0
H-1457,Mecha,2,0
H-2127,Hydra,3,1
H-1688,Agro,1,0
H-1235,Factory,2,0
H-1539,Mecha,3,0
H-1772,Agro,4,1
H-1138,Alpha,4,0
H-1194,Alpha,2,0
H-1941,Go-Sci,2,0
H-1135,Alpha,4,0
H-2063,Hydra,3,0
H-2340,Arrow,5,0
H-1426,Mecha,4,0
H-1056,Alpha,1,0
H-1538,Mecha,5,0
H-1881,Go-Sci,4,0
H-1954,Go-Sci,2,0
H-1345,Factory,4,0
H-1275,Factory,2,0
H-1770,Agro,1,0
H-1097,Alpha,1,0
H-1045,Alpha,1,0
H-1762,Agro,4,0
H-1115,Alpha,4,0
H-1978,Go-Sci,3,0
H-2334,Arrow,1,0
H-2119,Hydra,1,0
H-1071,Alpha,5,0
H-1750,Agro,3,0
H-2089,Hydra,1,0
H-2066,Hydra,1,0
H-1702,Agro,5,0
H-1450,Mecha,1,0
H-2207,Arrow,3,0
H-2374,Arrow,3,0
H-2377,Arrow,3,0
H-1232,Factory,3,1
H-1152,Alpha,5,0
H-1467,Mecha,1,0
H-1994,Go-Sci,4,0
H-1313,Factory,5,0
H-2021,Hydra,4,1
H-1403,Mecha,1,0
H-1284,Factory,4,0
H-1890,Go-Sci,5,0
